Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

27;"Diepholz - Nienburg I";3;193097;;;;;;;;;;;;;;;;;;61404;;;;44431;;;;6929;;;;6359;;;;11556;;;;;;;;2143;;;;1175;;;;1196;;;;102;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;21;;;;;;;;;;;;4840;;;;;;;;169;;;;;;;;;;;;673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;"Osterholz - Verden";3;193643;;;;;;;;;;;;;;;;;;57243;;;;47413;;;;5235;;;;8008;;;;13708;;;;;;;;2655;;;;1321;;;;1250;;;;90;;;;;;;;;;;;;;;;;;;;;;;;190;;;;;;;;;;;;58;;;;;;;;;;;;5487;;;;;;;;165;;;;;;;;;;;;392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;"Rotenburg I - Heidekreis";3;167867;;;;;;;;;;;;;;;;;;53163;;;;38018;;;;4930;;;;5572;;;;10332;;;;;;;;1722;;;;1275;;;;1028;;;;68;;;;;;;;;;;;;;;;;;;;;;;;174;;;;;;;;;;;;22;;;;;;;;;;;;4586;;;;;;;;143;;;;;;;;;;;;796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;"Harburg";3;194856;;;;;;;;;;;;;;;;;;64905;;;;42915;;;;7382;;;;6641;;;;14078;;;;;;;;2499;;;;1193;;;;1366;;;;74;;;;;;;;;;;;;;;;;;;;;;;;159;;;;;;;;;;;;33;;;;;;;;;;;;9069;;;;;;;;141;;;;;;;;;;;;1145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;"Lüchow-Dannenberg - Lüneburg";3;179069;;;;;;;;;;;;;;;;;;48756;;;;38415;;;;5281;;;;9202;;;;18892;;;;;;;;3000;;;;1145;;;;1081;;;;47;;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;;;30;;;;;;;;;;;;5852;;;;;;;;136;;;;;;;;;;;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;"Osnabrück-Land";3;197532;;;;;;;;;;;;;;;;;;68972;;;;42214;;;;6599;;;;5783;;;;11046;;;;;;;;2188;;;;968;;;;801;;;;36;;;;;;;;;;;;;;;;;;;;;;;;444;;;;;;;;;;;;23;;;;;;;;;;;;4060;;;;;;;;121;;;;;;;;;;;;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;"Stadt Osnabrück";3;194231;;;;;;;;;;;;;;;;;;60754;;;;43099;;;;5874;;;;7188;;;;15390;;;;;;;;2794;;;;652;;;;815;;;;49;;;;;;;;;;;;;;;;;;;;;;;;226;;;;;;;;;;;;33;;;;;;;;;;;;3765;;;;;;;;88;;;;;;;;;;;;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;"Nienburg II - Schaumburg";3;195948;;;;;;;;;;;;;;;;;;56279;;;;51043;;;;4993;;;;6006;;;;11370;;;;;;;;2108;;;;1216;;;;1129;;;;112;;;;;;;;;;;;;;;;;;;;;;;;211;;;;;;;;;;;;41;;;;;;;;;;;;5514;;;;;;;;159;;;;;;;;;;;;436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;"Stadt Hannover I";3;181122;;;;;;;;;;;;;;;;;;42910;;;;45441;;;;6043;;;;7993;;;;15718;;;;;;;;2434;;;;808;;;;988;;;;122;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;78;;;;;;;;;;;;4654;;;;;;;;168;;;;;;;;;;;;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;"Stadt Hannover II";3;193157;;;;;;;;;;;;;;;;;;41684;;;;48292;;;;5983;;;;11129;;;;21559;;;;;;;;3113;;;;736;;;;1171;;;;80;;;;;;;;;;;;;;;;;;;;;;;;146;;;;;;;;;;;;95;;;;;;;;;;;;4749;;;;;;;;155;;;;;;;;;;;;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;"Hannover-Land I";3;232941;;;;;;;;;;;;;;;;;;72286;;;;57922;;;;8725;;;;7931;;;;14308;;;;;;;;2516;;;;1487;;;;1346;;;;185;;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;37;;;;;;;;;;;;7038;;;;;;;;210;;;;;;;;;;;;937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;"Celle - Uelzen";3;215285;;;;;;;;;;;;;;;;;;68568;;;;46931;;;;6478;;;;7085;;;;12071;;;;;;;;2673;;;;1511;;;;1173;;;;149;;;;;;;;;;;;;;;;;;;;;;;;183;;;;;;;;;;;;27;;;;;;;;;;;;7722;;;;;;;;144;;;;;;;;;;;;982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;"Gifhorn - Peine";3;217256;;;;;;;;;;;;;;;;;;64451;;;;57875;;;;5648;;;;7575;;;;11855;;;;;;;;2833;;;;1524;;;;1242;;;;134;;;;;;;;;;;;;;;;;;;;;;;;616;;;;;;;;;;;;46;;;;;;;;;;;;5786;;;;;;;;212;;;;;;;;;;;;671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;"Hameln-Pyrmont - Holzminden";3;191980;;;;;;;;;;;;;;;;;;50937;;;;49411;;;;5985;;;;7201;;;;11428;;;;;;;;2152;;;;1271;;;;1031;;;;104;;;;;;;;;;;;;;;;;;;;;;;;185;;;;;;;;;;;;30;;;;;;;;;;;;5550;;;;;;;;150;;;;;;;;;;;;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
