Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

168;"Mannheim";8;198525;;;;;;;;;;;;;;;;;;47598;;;;37367;;;;7427;;;;10227;;;;15047;;;;;;;;4287;;;;1585;;;;1378;;;;514;;;;278;;;;;;;;;;;;497;;;;;;;;162;;;;27;;;;;;;;120;;;;277;;;;;;;;8148;;;;104;;;;136;;;;;;;;;;;;465;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;
169;"Odenwald - Tauber";8;213424;;;;;;;;;;;;;;;;;;79516;;;;30269;;;;7956;;;;6379;;;;10984;;;;;;;;3049;;;;2023;;;;1199;;;;615;;;;1030;;;;;;;;;;;;386;;;;;;;;213;;;;24;;;;;;;;34;;;;299;;;;;;;;7994;;;;75;;;;149;;;;;;;;;;;;911;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;;;;
170;"Rhein-Neckar";8;197424;;;;;;;;;;;;;;;;;;63876;;;;32456;;;;9444;;;;6959;;;;13912;;;;;;;;3909;;;;1936;;;;1255;;;;591;;;;421;;;;;;;;;;;;342;;;;;;;;264;;;;18;;;;;;;;36;;;;267;;;;;;;;8786;;;;72;;;;125;;;;;;;;;;;;932;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;;
171;"Bruchsal - Schwetzingen";8;195953;;;;;;;;;;;;;;;;;;66656;;;;30861;;;;8133;;;;6357;;;;11696;;;;;;;;3556;;;;1628;;;;1416;;;;1042;;;;278;;;;;;;;;;;;418;;;;;;;;164;;;;22;;;;;;;;42;;;;272;;;;;;;;8700;;;;89;;;;168;;;;;;;;;;;;1364;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;
172;"Pforzheim";8;219976;;;;;;;;;;;;;;;;;;70997;;;;31788;;;;11171;;;;7248;;;;14081;;;;;;;;3405;;;;2125;;;;1324;;;;613;;;;389;;;;;;;;;;;;460;;;;;;;;598;;;;15;;;;;;;;38;;;;317;;;;;;;;11379;;;;98;;;;176;;;;;;;;;;;;1014;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;
173;"Calw";8;197679;;;;;;;;;;;;;;;;;;73263;;;;25285;;;;9194;;;;5948;;;;10946;;;;;;;;2642;;;;1689;;;;995;;;;904;;;;524;;;;;;;;;;;;410;;;;;;;;796;;;;21;;;;;;;;39;;;;257;;;;;;;;9013;;;;88;;;;122;;;;;;;;;;;;1017;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;;
174;"Freiburg";8;219472;;;;;;;;;;;;;;;;;;59007;;;;36791;;;;8059;;;;13105;;;;33044;;;;;;;;4973;;;;784;;;;1465;;;;282;;;;642;;;;;;;;;;;;363;;;;;;;;329;;;;21;;;;;;;;77;;;;261;;;;;;;;6384;;;;52;;;;88;;;;;;;;;;;;732;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
175;"Lörrach - Müllheim";8;229316;;;;;;;;;;;;;;;;;;70888;;;;35328;;;;9159;;;;7856;;;;20593;;;;;;;;3594;;;;1412;;;;1393;;;;589;;;;410;;;;;;;;;;;;457;;;;;;;;590;;;;24;;;;;;;;50;;;;514;;;;;;;;8267;;;;70;;;;119;;;;;;;;;;;;738;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;;;;
176;"Emmendingen - Lahr";8;215623;;;;;;;;;;;;;;;;;;69272;;;;32131;;;;7749;;;;7016;;;;18293;;;;;;;;3667;;;;1176;;;;1490;;;;413;;;;1087;;;;;;;;;;;;371;;;;;;;;397;;;;26;;;;;;;;29;;;;363;;;;;;;;6823;;;;33;;;;101;;;;;;;;;;;;710;;;;;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;;
177;"Offenburg";8;205119;;;;;;;;;;;;;;;;;;68973;;;;27448;;;;8140;;;;6762;;;;15311;;;;;;;;3028;;;;1318;;;;1244;;;;334;;;;350;;;;;;;;;;;;311;;;;;;;;218;;;;14;;;;;;;;32;;;;332;;;;;;;;7743;;;;24;;;;79;;;;;;;;;;;;852;;;;;;;;309;;;;;;;;;;;;;;;;;;;;;;;;;;
178;"Rottweil - Tuttlingen";8;199241;;;;;;;;;;;;;;;;;;72998;;;;24757;;;;9025;;;;5601;;;;10385;;;;;;;;2582;;;;2080;;;;968;;;;413;;;;1250;;;;;;;;;;;;418;;;;;;;;361;;;;27;;;;;;;;29;;;;353;;;;;;;;8214;;;;54;;;;99;;;;;;;;;;;;1383;;;;;;;;171;;;;;;;;;;;;;;;;;;;;;;;;;;
179;"Schwarzwald-Baar";8;166191;;;;;;;;;;;;;;;;;;57912;;;;22414;;;;6933;;;;4860;;;;10613;;;;;;;;2260;;;;1737;;;;926;;;;208;;;;375;;;;;;;;;;;;339;;;;;;;;453;;;;17;;;;;;;;57;;;;229;;;;;;;;6697;;;;37;;;;76;;;;;;;;;;;;1084;;;;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;
180;"Konstanz";8;202393;;;;;;;;;;;;;;;;;;63563;;;;29504;;;;10735;;;;7295;;;;18446;;;;;;;;3190;;;;1116;;;;1180;;;;199;;;;661;;;;;;;;;;;;335;;;;;;;;230;;;;20;;;;;;;;43;;;;384;;;;;;;;8027;;;;49;;;;89;;;;;;;;;;;;649;;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;
181;"Waldshut";8;177313;;;;;;;;;;;;;;;;;;62610;;;;24130;;;;7307;;;;5482;;;;13987;;;;;;;;2335;;;;947;;;;876;;;;635;;;;683;;;;;;;;;;;;314;;;;;;;;228;;;;21;;;;;;;;30;;;;344;;;;;;;;5979;;;;46;;;;97;;;;;;;;;;;;890;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;
182;"Reutlingen";8;199091;;;;;;;;;;;;;;;;;;68394;;;;28558;;;;10441;;;;7089;;;;16195;;;;;;;;3267;;;;1517;;;;962;;;;543;;;;505;;;;;;;;;;;;346;;;;;;;;314;;;;23;;;;;;;;139;;;;324;;;;;;;;8245;;;;71;;;;104;;;;;;;;;;;;875;;;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;
183;"Tübingen";8;193188;;;;;;;;;;;;;;;;;;61889;;;;30417;;;;8208;;;;9820;;;;21978;;;;;;;;3979;;;;1297;;;;1053;;;;439;;;;589;;;;;;;;;;;;276;;;;;;;;340;;;;30;;;;;;;;95;;;;267;;;;;;;;6815;;;;73;;;;94;;;;;;;;;;;;509;;;;;;;;113;;;;;;;;;;;;;;;;;;;;;;;;;;
184;"Ulm";8;220702;;;;;;;;;;;;;;;;;;80370;;;;33432;;;;8662;;;;7087;;;;17023;;;;;;;;4075;;;;1747;;;;1158;;;;553;;;;724;;;;;;;;;;;;422;;;;;;;;344;;;;46;;;;;;;;114;;;;342;;;;;;;;7839;;;;95;;;;147;;;;;;;;;;;;1147;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;;;;
185;"Biberach";8;163772;;;;;;;;;;;;;;;;;;67567;;;;17814;;;;5851;;;;4075;;;;10887;;;;;;;;2503;;;;1062;;;;825;;;;599;;;;1166;;;;;;;;;;;;316;;;;;;;;209;;;;28;;;;;;;;20;;;;273;;;;;;;;5072;;;;66;;;;105;;;;;;;;;;;;1516;;;;;;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;
186;"Bodensee";8;171016;;;;;;;;;;;;;;;;;;61961;;;;23125;;;;8086;;;;5629;;;;14955;;;;;;;;2594;;;;1091;;;;950;;;;303;;;;902;;;;;;;;;;;;254;;;;;;;;163;;;;21;;;;;;;;51;;;;362;;;;;;;;5689;;;;37;;;;75;;;;;;;;;;;;863;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;
187;"Ravensburg";8;185006;;;;;;;;;;;;;;;;;;67251;;;;23266;;;;7047;;;;5770;;;;16571;;;;;;;;2837;;;;1164;;;;951;;;;418;;;;1982;;;;;;;;;;;;297;;;;;;;;231;;;;23;;;;;;;;60;;;;320;;;;;;;;5200;;;;29;;;;85;;;;;;;;;;;;901;;;;;;;;103;;;;;;;;;;;;;;;;;;;;;;;;;;
188;"Zollernalb - Sigmaringen";8;184370;;;;;;;;;;;;;;;;;;69176;;;;22447;;;;7393;;;;5359;;;;11008;;;;;;;;2746;;;;1854;;;;1012;;;;668;;;;543;;;;;;;;;;;;328;;;;;;;;289;;;;37;;;;;;;;198;;;;282;;;;;;;;6161;;;;45;;;;132;;;;;;;;;;;;1222;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Baden-Württemberg";99;7689895;

189;"Altötting";9;167160;;;;;;;;;;;;;;;;;;;;;;16797;;;;4365;;;;3241;;;;6394;;;;64998;;;;1902;;;;702;;;;759;;;;541;;;;1349;;;;;;;;39;;;;;;;;1485;;;;;;;;116;;;;350;;;;15;;;;;;;;;;;;4496;;;;;;;;79;;;;;;;;213;;;;2884;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;;
190;"Erding - Ebersberg";9;192385;;;;;;;;;;;;;;;;;;;;;;23670;;;;7322;;;;4178;;;;12587;;;;72850;;;;2611;;;;607;;;;1029;;;;1052;;;;1976;;;;;;;;119;;;;;;;;2177;;;;;;;;31;;;;171;;;;25;;;;;;;;;;;;7395;;;;;;;;92;;;;;;;;247;;;;4443;;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;;
191;"Freising";9;216717;;;;;;;;;;;;;;;;;;;;;;25243;;;;7248;;;;5030;;;;14390;;;;78924;;;;3157;;;;1181;;;;1154;;;;500;;;;1913;;;;;;;;44;;;;;;;;2010;;;;;;;;29;;;;187;;;;26;;;;;;;;;;;;7424;;;;;;;;123;;;;;;;;264;;;;5780;;;;;;;;148;;;;;;;;;;;;;;;;;;;;;;;;;;
192;"Fürstenfeldbruck";9;251146;;;;;;;;;;;;;;;;;;;;;;34660;;;;9455;;;;5711;;;;16586;;;;94458;;;;3599;;;;901;;;;1401;;;;540;;;;2056;;;;;;;;62;;;;;;;;2086;;;;;;;;23;;;;240;;;;40;;;;;;;;;;;;9807;;;;;;;;161;;;;;;;;275;;;;5051;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;;;;
193;"Ingolstadt";9;254661;;;;;;;;;;;;;;;;;;;;;;29880;;;;7407;;;;6163;;;;10752;;;;96804;;;;3095;;;;1472;;;;1061;;;;727;;;;1986;;;;;;;;63;;;;;;;;1796;;;;;;;;23;;;;194;;;;27;;;;;;;;;;;;6089;;;;;;;;104;;;;;;;;266;;;;5114;;;;;;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;
194;"München-Nord";9;225557;;;;;;;;;;;;;;;;;;;;;;38350;;;;12778;;;;7088;;;;21174;;;;57100;;;;4223;;;;654;;;;1071;;;;262;;;;1544;;;;;;;;42;;;;;;;;900;;;;;;;;56;;;;209;;;;60;;;;;;;;;;;;7106;;;;;;;;110;;;;;;;;196;;;;2193;;;;;;;;128;;;;;;;;;;;;;;;;;;;;;;;;;;
195;"München-Ost";9;236523;;;;;;;;;;;;;;;;;;;;;;39187;;;;13775;;;;7131;;;;21719;;;;66349;;;;3814;;;;621;;;;1124;;;;297;;;;1575;;;;;;;;47;;;;;;;;1235;;;;;;;;45;;;;210;;;;41;;;;;;;;;;;;7807;;;;;;;;113;;;;;;;;206;;;;2600;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;;
196;"München-Süd";9;215368;;;;;;;;;;;;;;;;;;;;;;36877;;;;10727;;;;7341;;;;21440;;;;58097;;;;4003;;;;632;;;;1092;;;;283;;;;1418;;;;;;;;46;;;;;;;;1088;;;;;;;;49;;;;224;;;;42;;;;;;;;;;;;7082;;;;;;;;82;;;;;;;;256;;;;2493;;;;;;;;125;;;;;;;;;;;;;;;;;;;;;;;;;;
197;"München-West/Mitte";9;239700;;;;;;;;;;;;;;;;;;;;;;41108;;;;12850;;;;8312;;;;27068;;;;64221;;;;4313;;;;643;;;;1219;;;;272;;;;1770;;;;;;;;51;;;;;;;;1002;;;;;;;;60;;;;249;;;;125;;;;;;;;;;;;7249;;;;;;;;201;;;;;;;;291;;;;2387;;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;;;
198;"München-Land";9;247787;;;;;;;;;;;;;;;;;;;;;;37497;;;;16300;;;;5380;;;;18960;;;;89504;;;;3546;;;;626;;;;1346;;;;533;;;;1661;;;;;;;;92;;;;;;;;1325;;;;;;;;27;;;;189;;;;32;;;;;;;;;;;;9303;;;;;;;;112;;;;;;;;237;;;;3986;;;;;;;;204;;;;;;;;;;;;;;;;;;;;;;;;;;
199;"Rosenheim";9;231069;;;;;;;;;;;;;;;;;;;;;;23966;;;;8040;;;;4688;;;;13631;;;;87569;;;;2788;;;;772;;;;1111;;;;1368;;;;2419;;;;;;;;36;;;;;;;;3088;;;;;;;;96;;;;241;;;;24;;;;;;;;;;;;7792;;;;;;;;93;;;;;;;;269;;;;3653;;;;;;;;167;;;;;;;;;;;;;;;;;;;;;;;;;;
200;"Starnberg";9;245379;;;;;;;;;;;;;;;;;;;;;;27345;;;;13346;;;;4796;;;;16417;;;;93201;;;;2804;;;;739;;;;1322;;;;415;;;;1985;;;;;;;;49;;;;;;;;2609;;;;;;;;35;;;;397;;;;22;;;;;;;;;;;;10160;;;;;;;;123;;;;;;;;235;;;;4887;;;;;;;;201;;;;;;;;;;;;;;;;;;;;;;;;;;
201;"Traunstein";9;206868;;;;;;;;;;;;;;;;;;;;;;20875;;;;6139;;;;4193;;;;12334;;;;80351;;;;2116;;;;771;;;;912;;;;813;;;;1843;;;;;;;;43;;;;;;;;1808;;;;;;;;36;;;;202;;;;18;;;;;;;;;;;;4597;;;;;;;;85;;;;;;;;187;;;;2843;;;;;;;;164;;;;;;;;;;;;;;;;;;;;;;;;;;
202;"Weilheim";9;252724;;;;;;;;;;;;;;;;;;;;;;28342;;;;9461;;;;5629;;;;16017;;;;95885;;;;2907;;;;1062;;;;1284;;;;412;;;;3011;;;;;;;;79;;;;;;;;3573;;;;;;;;32;;;;271;;;;45;;;;;;;;;;;;9665;;;;;;;;137;;;;;;;;321;;;;4441;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;;;
203;"Deggendorf";9;155082;;;;;;;;;;;;;;;;;;;;;;15438;;;;3557;;;;3107;;;;4065;;;;52481;;;;1280;;;;1440;;;;661;;;;435;;;;935;;;;;;;;36;;;;;;;;1559;;;;;;;;13;;;;87;;;;11;;;;;;;;;;;;3787;;;;;;;;66;;;;;;;;171;;;;4007;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;
204;"Landshut";9;251273;;;;;;;;;;;;;;;;;;;;;;27160;;;;7989;;;;5161;;;;11427;;;;92069;;;;2642;;;;1378;;;;1328;;;;489;;;;2176;;;;;;;;40;;;;;;;;2464;;;;;;;;27;;;;274;;;;22;;;;;;;;;;;;6111;;;;;;;;153;;;;;;;;309;;;;9038;;;;;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;;
205;"Passau";9;186392;;;;;;;;;;;;;;;;;;;;;;21611;;;;5198;;;;4399;;;;6895;;;;62765;;;;1811;;;;1104;;;;864;;;;349;;;;1892;;;;;;;;23;;;;;;;;1120;;;;;;;;19;;;;122;;;;13;;;;;;;;;;;;4518;;;;;;;;81;;;;;;;;190;;;;3365;;;;;;;;103;;;;;;;;;;;;;;;;;;;;;;;;;;
206;"Rottal-Inn";9;163308;;;;;;;;;;;;;;;;;;;;;;15626;;;;4195;;;;2753;;;;4996;;;;60501;;;;1434;;;;1296;;;;722;;;;438;;;;1740;;;;;;;;40;;;;;;;;1346;;;;;;;;32;;;;113;;;;17;;;;;;;;;;;;3723;;;;;;;;82;;;;;;;;185;;;;3602;;;;;;;;131;;;;;;;;;;;;;;;;;;;;;;;;;;
207;"Straubing";9;173773;;;;;;;;;;;;;;;;;;;;;;17790;;;;4653;;;;3297;;;;4324;;;;63887;;;;1627;;;;1513;;;;688;;;;377;;;;1939;;;;;;;;19;;;;;;;;1390;;;;;;;;14;;;;81;;;;16;;;;;;;;;;;;4375;;;;;;;;59;;;;;;;;191;;;;4171;;;;;;;;138;;;;;;;;;;;;;;;;;;;;;;;;;;
208;"Amberg";9;215146;;;;;;;;;;;;;;;;;;;;;;29036;;;;5633;;;;5052;;;;8997;;;;80073;;;;2920;;;;1586;;;;981;;;;372;;;;1959;;;;;;;;53;;;;;;;;1375;;;;;;;;30;;;;142;;;;32;;;;;;;;;;;;5273;;;;;;;;109;;;;;;;;280;;;;5681;;;;;;;;152;;;;;;;;;;;;;;;;;;;;;;;;;;
209;"Regensburg";9;248820;;;;;;;;;;;;;;;;;;;;;;32902;;;;7835;;;;6617;;;;15759;;;;82556;;;;3354;;;;1280;;;;1261;;;;475;;;;2571;;;;;;;;35;;;;;;;;1320;;;;;;;;23;;;;213;;;;33;;;;;;;;;;;;7000;;;;;;;;103;;;;;;;;279;;;;6886;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;;;;;
210;"Schwandorf";9;216389;;;;;;;;;;;;;;;;;;;;;;27066;;;;4701;;;;4505;;;;5927;;;;76453;;;;2153;;;;1705;;;;1020;;;;469;;;;1527;;;;;;;;42;;;;;;;;2120;;;;;;;;21;;;;103;;;;38;;;;;;;;;;;;4575;;;;;;;;105;;;;;;;;253;;;;6858;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;;;;
211;"Weiden";9;170403;;;;;;;;;;;;;;;;;;;;;;26484;;;;3953;;;;3982;;;;5072;;;;62126;;;;1758;;;;1909;;;;772;;;;289;;;;1098;;;;;;;;27;;;;;;;;1071;;;;;;;;19;;;;105;;;;18;;;;;;;;;;;;4243;;;;;;;;109;;;;;;;;254;;;;4259;;;;;;;;162;;;;;;;;;;;;;;;;;;;;;;;;;;
212;"Bamberg";9;179923;;;;;;;;;;;;;;;;;;;;;;24924;;;;6073;;;;5143;;;;11267;;;;61546;;;;2905;;;;1619;;;;964;;;;586;;;;792;;;;;;;;40;;;;;;;;570;;;;;;;;19;;;;139;;;;60;;;;;;;;;;;;5211;;;;;;;;82;;;;;;;;319;;;;3559;;;;;;;;131;;;;;;;;;;;;;;;;;;;;;;;;;;
213;"Bayreuth";9;164828;;;;;;;;;;;;;;;;;;;;;;26676;;;;5539;;;;3783;;;;7803;;;;56846;;;;2192;;;;1104;;;;796;;;;530;;;;556;;;;;;;;44;;;;;;;;398;;;;;;;;16;;;;112;;;;24;;;;;;;;;;;;4435;;;;;;;;70;;;;;;;;245;;;;3524;;;;;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;
214;"Coburg";9;160103;;;;;;;;;;;;;;;;;;;;;;30708;;;;4469;;;;4415;;;;6309;;;;51567;;;;1785;;;;1621;;;;678;;;;218;;;;536;;;;;;;;25;;;;;;;;305;;;;;;;;17;;;;109;;;;39;;;;;;;;;;;;4730;;;;;;;;62;;;;;;;;243;;;;2435;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;;
215;"Hof";9;174569;;;;;;;;;;;;;;;;;;;;;;31406;;;;4418;;;;5619;;;;6315;;;;55219;;;;2257;;;;1461;;;;1030;;;;446;;;;504;;;;;;;;40;;;;;;;;597;;;;;;;;14;;;;87;;;;19;;;;;;;;;;;;5109;;;;;;;;107;;;;;;;;235;;;;2598;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;
216;"Kulmbach";9;172449;;;;;;;;;;;;;;;;;;;;;;26030;;;;4513;;;;4392;;;;6396;;;;63378;;;;2316;;;;2017;;;;889;;;;554;;;;856;;;;;;;;31;;;;;;;;758;;;;;;;;12;;;;122;;;;28;;;;;;;;;;;;4800;;;;;;;;105;;;;;;;;307;;;;3476;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
217;"Ansbach";9;243643;;;;;;;;;;;;;;;;;;;;;;36690;;;;7619;;;;6368;;;;13771;;;;78640;;;;3276;;;;2008;;;;1114;;;;643;;;;1848;;;;;;;;123;;;;;;;;860;;;;;;;;33;;;;239;;;;23;;;;;;;;;;;;5950;;;;;;;;177;;;;;;;;351;;;;5208;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;
218;"Erlangen";9;179506;;;;;;;;;;;;;;;;;;;;;;32638;;;;7440;;;;5840;;;;15395;;;;55940;;;;3311;;;;917;;;;901;;;;289;;;;1144;;;;;;;;51;;;;;;;;507;;;;;;;;26;;;;126;;;;45;;;;;;;;;;;;5590;;;;;;;;70;;;;;;;;222;;;;3684;;;;;;;;113;;;;;;;;;;;;;;;;;;;;;;;;;;
219;"Fürth";9;253603;;;;;;;;;;;;;;;;;;;;;;44485;;;;8251;;;;8816;;;;16126;;;;75595;;;;4148;;;;1739;;;;1338;;;;887;;;;1374;;;;;;;;78;;;;;;;;772;;;;;;;;30;;;;185;;;;70;;;;;;;;;;;;7824;;;;;;;;132;;;;;;;;305;;;;4335;;;;;;;;217;;;;;;;;;;;;;;;;;;;;;;;;;;
220;"Nürnberg-Nord";9;193031;;;;;;;;;;;;;;;;;;;;;;35310;;;;7150;;;;9311;;;;17444;;;;45748;;;;4221;;;;1061;;;;1032;;;;409;;;;940;;;;;;;;57;;;;;;;;337;;;;;;;;26;;;;165;;;;149;;;;;;;;;;;;5906;;;;;;;;81;;;;;;;;244;;;;1909;;;;;;;;147;;;;;;;;;;;;;;;;;;;;;;;;;;
221;"Nürnberg-Süd";9;185799;;;;;;;;;;;;;;;;;;;;;;34363;;;;5087;;;;6948;;;;9705;;;;48881;;;;2936;;;;1572;;;;890;;;;481;;;;761;;;;;;;;110;;;;;;;;318;;;;;;;;11;;;;114;;;;50;;;;;;;;;;;;5737;;;;;;;;79;;;;;;;;214;;;;2187;;;;;;;;131;;;;;;;;;;;;;;;;;;;;;;;;;;
222;"Roth";9;226102;;;;;;;;;;;;;;;;;;;;;;41107;;;;7467;;;;6394;;;;14247;;;;76181;;;;3252;;;;1471;;;;1235;;;;803;;;;1095;;;;;;;;68;;;;;;;;560;;;;;;;;18;;;;180;;;;24;;;;;;;;;;;;6533;;;;;;;;141;;;;;;;;293;;;;6192;;;;;;;;192;;;;;;;;;;;;;;;;;;;;;;;;;;
223;"Aschaffenburg";9;184171;;;;;;;;;;;;;;;;;;;;;;28408;;;;7003;;;;4691;;;;11135;;;;61741;;;;2545;;;;1550;;;;1098;;;;739;;;;791;;;;;;;;52;;;;;;;;563;;;;;;;;15;;;;190;;;;75;;;;;;;;;;;;5263;;;;;;;;156;;;;;;;;263;;;;2902;;;;;;;;166;;;;;;;;;;;;;;;;;;;;;;;;;;
224;"Bad Kissingen";9;217994;;;;;;;;;;;;;;;;;;;;;;27931;;;;7342;;;;6946;;;;9874;;;;82760;;;;2980;;;;2018;;;;919;;;;884;;;;1119;;;;;;;;67;;;;;;;;756;;;;;;;;27;;;;167;;;;40;;;;;;;;;;;;4988;;;;;;;;125;;;;;;;;311;;;;4129;;;;;;;;239;;;;;;;;;;;;;;;;;;;;;;;;;;
225;"Main-Spessart";9;197762;;;;;;;;;;;;;;;;;;;;;;30486;;;;6413;;;;4839;;;;9972;;;;69953;;;;2670;;;;1404;;;;1119;;;;1001;;;;915;;;;;;;;151;;;;;;;;525;;;;;;;;31;;;;167;;;;25;;;;;;;;;;;;5583;;;;;;;;90;;;;;;;;301;;;;5619;;;;;;;;166;;;;;;;;;;;;;;;;;;;;;;;;;;
226;"Schweinfurt";9;200150;;;;;;;;;;;;;;;;;;;;;;28872;;;;5906;;;;6940;;;;9903;;;;71264;;;;2493;;;;1333;;;;852;;;;1118;;;;859;;;;;;;;56;;;;;;;;828;;;;;;;;23;;;;114;;;;52;;;;;;;;;;;;4665;;;;;;;;121;;;;;;;;264;;;;4041;;;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;
227;"Würzburg";9;226597;;;;;;;;;;;;;;;;;;;;;;37225;;;;8485;;;;6637;;;;19311;;;;74187;;;;4014;;;;946;;;;1136;;;;1279;;;;1388;;;;;;;;49;;;;;;;;495;;;;;;;;20;;;;167;;;;29;;;;;;;;;;;;6388;;;;;;;;94;;;;;;;;319;;;;2920;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;
228;"Augsburg-Stadt";9;208231;;;;;;;;;;;;;;;;;;;;;;29328;;;;6187;;;;7391;;;;13940;;;;57699;;;;3424;;;;841;;;;1012;;;;641;;;;1034;;;;;;;;115;;;;;;;;700;;;;;;;;43;;;;205;;;;84;;;;;;;;;;;;7136;;;;;;;;116;;;;;;;;258;;;;1976;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;;
229;"Augsburg-Land";9;244203;;;;;;;;;;;;;;;;;;;;;;30126;;;;8134;;;;5631;;;;12670;;;;93973;;;;3089;;;;1279;;;;1384;;;;1023;;;;1784;;;;;;;;367;;;;;;;;1580;;;;;;;;29;;;;221;;;;42;;;;;;;;;;;;9040;;;;;;;;151;;;;;;;;390;;;;3929;;;;;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;;
230;"Donau-Ries";9;189974;;;;;;;;;;;;;;;;;;;;;;21616;;;;5824;;;;4260;;;;7773;;;;72065;;;;1938;;;;1503;;;;877;;;;999;;;;1312;;;;;;;;121;;;;;;;;1144;;;;;;;;12;;;;214;;;;26;;;;;;;;;;;;5433;;;;;;;;81;;;;;;;;462;;;;3964;;;;;;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;
